Dmel_CG10149	Dmel_CG10230
Dmel_CG6058	Dmel_CG10230
Dmel_CG6297	Dmel_CG10230
Dmel_CG6315	Dmel_CG10230
Dmel_CG2621	Dmel_CG10234
Dmel_CG10238	Dmel_CG10238
Dmel_CG10414	Dmel_CG10238
Dmel_CG13090	Dmel_CG10238
Dmel_CG13400	Dmel_CG10238
Dmel_CG16973	Dmel_CG10238
Dmel_CG1749	Dmel_CG10238
Dmel_CG18492	Dmel_CG10238
Dmel_CG2275	Dmel_CG10238
Dmel_CG4107	Dmel_CG10238
Dmel_CG4185	Dmel_CG10238
Dmel_CG4201	Dmel_CG10238
Dmel_CG4527	Dmel_CG10238
Dmel_CG7098	Dmel_CG10238
Dmel_CG7486	Dmel_CG10238
Dmel_CG8293	Dmel_CG10238
Dmel_CG9200	Dmel_CG10238
Dmel_CG9553	Dmel_CG10238
Dmel_CG9738	Dmel_CG10238
Dmel_CG16757	Dmel_CG10240
Dmel_CG10521	Dmel_CG10244
Dmel_CG16757	Dmel_CG10244
Dmel_CG2621	Dmel_CG10244
Dmel_CG5723	Dmel_CG10244
Dmel_CG5723	Dmel_CG10245
Dmel_CG2621	Dmel_CG10249
Dmel_CG10521	Dmel_CG10254
Dmel_CG14026	Dmel_CG10254
Dmel_CG2621	Dmel_CG10254
Dmel_CG5723	Dmel_CG10254
Dmel_CG3936	Dmel_CG10255
Dmel_CG10521	Dmel_CG10260
Dmel_CG11579	Dmel_CG10260
Dmel_CG13956	Dmel_CG10260
Dmel_CG1469	Dmel_CG10260
Dmel_CG16757	Dmel_CG10260
Dmel_CG18405	Dmel_CG10260
Dmel_CG2621	Dmel_CG10260
Dmel_CG5505	Dmel_CG10260
Dmel_CG5723	Dmel_CG10260
Dmel_CG9057	Dmel_CG10260
Dmel_CG2621	Dmel_CG10262
Dmel_CG8402	Dmel_CG10262
Dmel_CG9193	Dmel_CG10262
Dmel_CG3504	Dmel_CG10275
Dmel_CG3664	Dmel_CG10277
Dmel_CG1483	Dmel_CG10279
Dmel_CG1464	Dmel_CG1028
Dmel_CG5723	Dmel_CG10281
Dmel_CG1395	Dmel_CG10293
Dmel_CG7847	Dmel_CG10293
Dmel_CG12530	Dmel_CG10295
Dmel_CG13345	Dmel_CG10295
Dmel_CG13521	Dmel_CG10295
Dmel_CG17800	Dmel_CG10295
Dmel_CG2184	Dmel_CG10295
Dmel_CG2248	Dmel_CG10295
Dmel_CG3727	Dmel_CG10295
Dmel_CG5588	Dmel_CG10295
Dmel_CG8556	Dmel_CG10295
Dmel_CG8933	Dmel_CG1030
Dmel_CG9375	Dmel_CG1030
Dmel_CG10521	Dmel_CG10301
Dmel_CG16757	Dmel_CG10302
Dmel_CG2813	Dmel_CG10302
Dmel_CG3665	Dmel_CG10302
Dmel_CG3624	Dmel_CG10305
Dmel_CG6398	Dmel_CG10305
Dmel_CG9739	Dmel_CG10305
Dmel_CG10498	Dmel_CG10308
Dmel_CG3738	Dmel_CG10308
Dmel_CG4201	Dmel_CG10315
Dmel_CG2621	Dmel_CG10324
Dmel_CG3571	Dmel_CG10324
Dmel_CG6502	Dmel_CG10328
Dmel_CG1004	Dmel_CG10334
Dmel_CG10079	Dmel_CG10334
Dmel_CG10325	Dmel_CG10334
Dmel_CG10491	Dmel_CG10334
Dmel_CG1214	Dmel_CG10334
Dmel_CG4385	Dmel_CG10334
Dmel_CG4531	Dmel_CG10334
Dmel_CG10521	Dmel_CG10335
Dmel_CG11154	Dmel_CG10340
Dmel_CG4038	Dmel_CG10341
Dmel_CG31196	Dmel_CG10346
Dmel_CG5723	Dmel_CG10347
Dmel_CG10521	Dmel_CG10362
Dmel_CG3937	Dmel_CG10362
Dmel_CG8402	Dmel_CG10363
Dmel_CG1771	Dmel_CG10364
Dmel_CG13956	Dmel_CG10367
Dmel_CG16757	Dmel_CG10370
Dmel_CG4466	Dmel_CG10370
Dmel_CG5271	Dmel_CG10370
Dmel_CG6058	Dmel_CG10370
Dmel_CG6297	Dmel_CG10370
Dmel_CG10901	Dmel_CG10377
Dmel_CG12743	Dmel_CG10377
Dmel_CG1483	Dmel_CG10377
Dmel_CG17610	Dmel_CG10377
Dmel_CG10579	Dmel_CG10379
Dmel_CG2248	Dmel_CG10379
Dmel_CG2621	Dmel_CG10379
Dmel_CG3665	Dmel_CG10379
Dmel_CG8581	Dmel_CG10379
Dmel_CG17369	Dmel_CG10383
Dmel_CG10120	Dmel_CG10384
Dmel_CG5723	Dmel_CG10384
Dmel_CG8402	Dmel_CG10384
Dmel_CG10385	Dmel_CG10385
Dmel_CG11680	Dmel_CG10385
Dmel_CG3241	Dmel_CG10385
Dmel_CG5723	Dmel_CG10385
Dmel_CG8631	Dmel_CG10385
Dmel_CG3936	Dmel_CG10387
Dmel_CG11579	Dmel_CG10388
Dmel_CG12743	Dmel_CG10388
Dmel_CG17743	Dmel_CG10388
Dmel_CG18361	Dmel_CG10388
Dmel_CG2238	Dmel_CG10388
Dmel_CG3096	Dmel_CG10388
Dmel_CG3935	Dmel_CG10388
Dmel_CG5595	Dmel_CG10388
Dmel_CG6494	Dmel_CG10388
Dmel_CG6502	Dmel_CG10388
Dmel_CG8933	Dmel_CG10388
Dmel_CG12369	Dmel_CG10390
Dmel_CG3665	Dmel_CG10390
Dmel_CG12676	Dmel_CG10399
Dmel_CG16757	Dmel_CG10399
Dmel_CG5723	Dmel_CG10399
Dmel_CG8402	Dmel_CG1041
Dmel_CG10414	Dmel_CG10414
Dmel_CG13400	Dmel_CG10414
Dmel_CG16973	Dmel_CG10414
Dmel_CG2275	Dmel_CG10414
Dmel_CG4107	Dmel_CG10414
Dmel_CG4185	Dmel_CG10414
Dmel_CG7098	Dmel_CG10414
Dmel_CG9200	Dmel_CG10414
Dmel_CG17768	Dmel_CG10418
Dmel_CG6610	Dmel_CG10418
Dmel_CG9745	Dmel_CG10419
Dmel_CG1469	Dmel_CG10420
Dmel_CG11992	Dmel_CG10423
Dmel_CG1469	Dmel_CG10423
Dmel_CG17369	Dmel_CG10423
Dmel_CG18492	Dmel_CG10423
Dmel_CG3305	Dmel_CG10423
Dmel_CG3937	Dmel_CG10423
Dmel_CG4201	Dmel_CG10423
Dmel_CG4432	Dmel_CG10423
Dmel_CG5576	Dmel_CG10423
Dmel_CG8053	Dmel_CG10423
Dmel_CG8293	Dmel_CG10423
Dmel_CG8995	Dmel_CG10423
Dmel_CG3936	Dmel_CG10424
Dmel_CG18657	Dmel_CG10426
Dmel_CG16812	Dmel_CG10428
Dmel_CG6953	Dmel_CG10428
Dmel_CG8552	Dmel_CG10428
Dmel_CG6297	Dmel_CG10435
Dmel_CG2621	Dmel_CG1044
Dmel_CG3954	Dmel_CG1044
Dmel_CG6033	Dmel_CG1044
Dmel_CG4032	Dmel_CG10443
Dmel_CG11486	Dmel_CG10445
Dmel_CG5723	Dmel_CG10445
Dmel_CG8581	Dmel_CG10445
Dmel_CG10579	Dmel_CG10462
Dmel_CG1469	Dmel_CG10462
Dmel_CG3665	Dmel_CG10462
Dmel_CG5723	Dmel_CG10462
Dmel_CG3665	Dmel_CG10463
Dmel_CG8402	Dmel_CG10469
Dmel_CG2621	Dmel_CG10470
Dmel_CG3665	Dmel_CG10473
Dmel_CG6582	Dmel_CG10473
Dmel_CG7483	Dmel_CG10473
Dmel_CG2621	Dmel_CG10476
Dmel_CG16757	Dmel_CG10478
Dmel_CG2621	Dmel_CG10478
Dmel_CG5723	Dmel_CG10486
Dmel_CG10521	Dmel_CG1049
Dmel_CG4700	Dmel_CG1049
